residue,next_residue,weight_tau_capped_R,tau_exact,next_index
635,953,1,1,476
637,239,3,3,119
639,959,1,1,479
641,481,2,2,240
643,965,1,1,482
645,121,4,4,60
647,971,1,1,485
649,487,2,2,243
651,977,1,1,488
653,245,3,3,122
655,983,1,1,491
657,493,2,2,246
659,989,1,1,494
661,31,6,6,15
663,995,1,1,497
665,499,2,2,249
667,1001,1,1,500
669,251,3,3,125
671,1007,1,1,503
673,505,2,2,252
675,1013,1,1,506
677,127,4,4,63
679,1019,1,1,509
681,511,2,2,255
683,1025,1,1,512
685,257,3,3,128
687,1031,1,1,515
689,517,2,2,258
691,1037,1,1,518
693,65,5,5,32
695,1043,1,1,521
697,523,2,2,261
699,1049,1,1,524
701,263,3,3,131
703,1055,1,1,527
705,529,2,2,264
707,1061,1,1,530
709,133,4,4,66
711,1067,1,1,533
713,535,2,2,267
715,1073,1,1,536
717,269,3,3,134
719,1079,1,1,539
721,541,2,2,270
723,1085,1,1,542
725,17,7,7,8
727,1091,1,1,545
729,547,2,2,273
731,1097,1,1,548
733,275,3,3,137
735,1103,1,1,551
737,553,2,2,276
739,1109,1,1,554
741,139,4,4,69
743,1115,1,1,557
745,559,2,2,279
747,1121,1,1,560
749,281,3,3,140
751,1127,1,1,563
753,565,2,2,282
755,1133,1,1,566
757,71,5,5,35
759,1139,1,1,569
761,571,2,2,285
763,1145,1,1,572
765,287,3,3,143
767,1151,1,1,575
769,577,2,2,288
771,1157,1,1,578
773,145,4,4,72
775,1163,1,1,581
777,583,2,2,291
779,1169,1,1,584
781,293,3,3,146
783,1175,1,1,587
785,589,2,2,294
787,1181,1,1,590
789,37,6,6,18
791,1187,1,1,593
793,595,2,2,297
795,1193,1,1,596
797,299,3,3,149
799,1199,1,1,599
801,601,2,2,300
803,1205,1,1,602
805,151,4,4,75
807,1211,1,1,605
809,607,2,2,303
811,1217,1,1,608
813,305,3,3,152
815,1223,1,1,611
817,613,2,2,306
819,1229,1,1,614
821,77,5,5,38
823,1235,1,1,617
825,619,2,2,309
827,1241,1,1,620
829,311,3,3,155
831,1247,1,1,623
833,625,2,2,312
835,1253,1,1,626
837,157,4,4,78
839,1259,1,1,629
841,631,2,2,315
843,1265,1,1,632
845,317,3,3,158
847,1271,1,1,635
849,637,2,2,318
851,1277,1,1,638
853,5,9,9,2
855,1283,1,1,641
857,643,2,2,321
859,1289,1,1,644
861,323,3,3,161
863,1295,1,1,647
865,649,2,2,324
867,1301,1,1,650
869,163,4,4,81
871,1307,1,1,653
873,655,2,2,327
875,1313,1,1,656
877,329,3,3,164
879,1319,1,1,659
881,661,2,2,330
883,1325,1,1,662
885,83,5,5,41
887,1331,1,1,665
889,667,2,2,333
891,1337,1,1,668
893,335,3,3,167
895,1343,1,1,671
897,673,2,2,336
899,1349,1,1,674
901,169,4,4,84
903,1355,1,1,677
905,679,2,2,339
907,1361,1,1,680
909,341,3,3,170
911,1367,1,1,683
913,685,2,2,342
915,1373,1,1,686
917,43,6,6,21
919,1379,1,1,689
921,691,2,2,345
923,1385,1,1,692
925,347,3,3,173
927,1391,1,1,695
929,697,2,2,348
931,1397,1,1,698
933,175,4,4,87
935,1403,1,1,701
937,703,2,2,351
939,1409,1,1,704
941,353,3,3,176
943,1415,1,1,707
945,709,2,2,354
947,1421,1,1,710
949,89,5,5,44
951,1427,1,1,713
953,715,2,2,357
955,1433,1,1,716
957,359,3,3,179
959,1439,1,1,719
961,721,2,2,360
963,1445,1,1,722
965,181,4,4,90
967,1451,1,1,725
969,727,2,2,363
971,1457,1,1,728
973,365,3,3,182
975,1463,1,1,731
977,733,2,2,366
979,1469,1,1,734
981,23,7,7,11
983,1475,1,1,737
985,739,2,2,369
987,1481,1,1,740
989,371,3,3,185
991,1487,1,1,743
993,745,2,2,372
995,1493,1,1,746
997,187,4,4,93
999,1499,1,1,749
1001,751,2,2,375
1003,1505,1,1,752
1005,377,3,3,188
1007,1511,1,1,755
1009,757,2,2,378
1011,1517,1,1,758
1013,95,5,5,47
1015,1523,1,1,761
1017,763,2,2,381
1019,1529,1,1,764
1021,383,3,3,191
1023,1535,1,1,767
1025,769,2,2,384
1027,1541,1,1,770
1029,193,4,4,96
1031,1547,1,1,773
1033,775,2,2,387
1035,1553,1,1,776
1037,389,3,3,194
1039,1559,1,1,779
1041,781,2,2,390
1043,1565,1,1,782
1045,49,6,6,24
1047,1571,1,1,785
1049,787,2,2,393
1051,1577,1,1,788
1053,395,3,3,197
1055,1583,1,1,791
1057,793,2,2,396
1059,1589,1,1,794
1061,199,4,4,99
1063,1595,1,1,797
1065,799,2,2,399
1067,1601,1,1,800
1069,401,3,3,200
1071,1607,1,1,803
1073,805,2,2,402
1075,1613,1,1,806
1077,101,5,5,50
1079,1619,1,1,809
1081,811,2,2,405
1083,1625,1,1,812
1085,407,3,3,203
1087,1631,1,1,815
1089,817,2,2,408
1091,1637,1,1,818
1093,205,4,4,102
1095,1643,1,1,821
1097,823,2,2,411
1099,1649,1,1,824
1101,413,3,3,206
1103,1655,1,1,827
1105,829,2,2,414
1107,1661,1,1,830
1109,13,8,8,6
1111,1667,1,1,833
1113,835,2,2,417
1115,1673,1,1,836
1117,419,3,3,209
1119,1679,1,1,839
1121,841,2,2,420
1123,1685,1,1,842
1125,211,4,4,105
1127,1691,1,1,845
1129,847,2,2,423
1131,1697,1,1,848
1133,425,3,3,212
1135,1703,1,1,851
1137,853,2,2,426
1139,1709,1,1,854
1141,107,5,5,53
1143,1715,1,1,857
1145,859,2,2,429
1147,1721,1,1,860
1149,431,3,3,215
1151,1727,1,1,863
1153,865,2,2,432
1155,1733,1,1,866
1157,217,4,4,108
1159,1739,1,1,869
1161,871,2,2,435
1163,1745,1,1,872
1165,437,3,3,218
1167,1751,1,1,875
1169,877,2,2,438
1171,1757,1,1,878
1173,55,6,6,27
1175,1763,1,1,881
1177,883,2,2,441
1179,1769,1,1,884
1181,443,3,3,221
1183,1775,1,1,887
1185,889,2,2,444
1187,1781,1,1,890
1189,223,4,4,111
1191,1787,1,1,893
1193,895,2,2,447
1195,1793,1,1,896
1197,449,3,3,224
1199,1799,1,1,899
1201,901,2,2,450
1203,1805,1,1,902
1205,113,5,5,56
1207,1811,1,1,905
1209,907,2,2,453
1211,1817,1,1,908
1213,455,3,3,227
1215,1823,1,1,911
1217,913,2,2,456
1219,1829,1,1,914
1221,229,4,4,114
1223,1835,1,1,917
1225,919,2,2,459
1227,1841,1,1,920
1229,461,3,3,230
1231,1847,1,1,923
1233,925,2,2,462
1235,1853,1,1,926
1237,29,7,7,14
1239,1859,1,1,929
1241,931,2,2,465
1243,1865,1,1,932
1245,467,3,3,233
1247,1871,1,1,935
1249,937,2,2,468
1251,1877,1,1,938
1253,235,4,4,117
1255,1883,1,1,941
1257,943,2,2,471
1259,1889,1,1,944
1261,473,3,3,236
1263,1895,1,1,947
1265,949,2,2,474
1267,1901,1,1,950
1269,119,5,5,59
1271,1907,1,1,953
1273,955,2,2,477
1275,1913,1,1,956
1277,479,3,3,239
1279,1919,1,1,959
1281,961,2,2,480
1283,1925,1,1,962
1285,241,4,4,120
1287,1931,1,1,965
1289,967,2,2,483
1291,1937,1,1,968
1293,485,3,3,242
1295,1943,1,1,971
1297,973,2,2,486
1299,1949,1,1,974
1301,61,6,6,30
1303,1955,1,1,977
1305,979,2,2,489
1307,1961,1,1,980
1309,491,3,3,245
1311,1967,1,1,983
1313,985,2,2,492
1315,1973,1,1,986
1317,247,4,4,123
1319,1979,1,1,989
1321,991,2,2,495
1323,1985,1,1,992
1325,497,3,3,248
1327,1991,1,1,995
1329,997,2,2,498
1331,1997,1,1,998
1333,125,5,5,62
1335,2003,1,1,1001
1337,1003,2,2,501
1339,2009,1,1,1004
1341,503,3,3,251
1343,2015,1,1,1007
1345,1009,2,2,504
1347,2021,1,1,1010
1349,253,4,4,126
1351,2027,1,1,1013
1353,1015,2,2,507
1355,2033,1,1,1016
1357,509,3,3,254
1359,2039,1,1,1019
1361,1021,2,2,510
1363,2045,1,1,1022
1365,1,12,12,0
1367,2051,1,1,1025
1369,1027,2,2,513
1371,2057,1,1,1028
1373,515,3,3,257
1375,2063,1,1,1031
1377,1033,2,2,516
1379,2069,1,1,1034
1381,259,4,4,129
1383,2075,1,1,1037
1385,1039,2,2,519
1387,2081,1,1,1040
1389,521,3,3,260
1391,2087,1,1,1043
1393,1045,2,2,522
1395,2093,1,1,1046
1397,131,5,5,65
1399,2099,1,1,1049
1401,1051,2,2,525
1403,2105,1,1,1052
1405,527,3,3,263
1407,2111,1,1,1055
1409,1057,2,2,528
1411,2117,1,1,1058
1413,265,4,4,132
1415,2123,1,1,1061
1417,1063,2,2,531
1419,2129,1,1,1064
1421,533,3,3,266
1423,2135,1,1,1067
1425,1069,2,2,534
1427,2141,1,1,1070
1429,67,6,6,33
1431,2147,1,1,1073
1433,1075,2,2,537
1435,2153,1,1,1076
1437,539,3,3,269
1439,2159,1,1,1079
1441,1081,2,2,540
1443,2165,1,1,1082
1445,271,4,4,135
1447,2171,1,1,1085
1449,1087,2,2,543
1451,2177,1,1,1088
1453,545,3,3,272
1455,2183,1,1,1091
1457,1093,2,2,546
1459,2189,1,1,1094
1461,137,5,5,68
1463,2195,1,1,1097
1465,1099,2,2,549
1467,2201,1,1,1100
1469,551,3,3,275
1471,2207,1,1,1103
1473,1105,2,2,552
1475,2213,1,1,1106
1477,277,4,4,138
1479,2219,1,1,1109
1481,1111,2,2,555
1483,2225,1,1,1112
1485,557,3,3,278
1487,2231,1,1,1115
1489,1117,2,2,558
1491,2237,1,1,1118
1493,35,7,7,17
1495,2243,1,1,1121
1497,1123,2,2,561
1499,2249,1,1,1124
1501,563,3,3,281
1503,2255,1,1,1127
1505,1129,2,2,564
1507,2261,1,1,1130
1509,283,4,4,141
1511,2267,1,1,1133
1513,1135,2,2,567
1515,2273,1,1,1136
1517,569,3,3,284
1519,2279,1,1,1139
1521,1141,2,2,570
1523,2285,1,1,1142
1525,143,5,5,71
1527,2291,1,1,1145
1529,1147,2,2,573
1531,2297,1,1,1148
1533,575,3,3,287
1535,2303,1,1,1151
1537,1153,2,2,576
1539,2309,1,1,1154
1541,289,4,4,144
1543,2315,1,1,1157
1545,1159,2,2,579
1547,2321,1,1,1160
1549,581,3,3,290
1551,2327,1,1,1163
1553,1165,2,2,582
1555,2333,1,1,1166
1557,73,6,6,36
1559,2339,1,1,1169
1561,1171,2,2,585
1563,2345,1,1,1172
1565,587,3,3,293
1567,2351,1,1,1175
1569,1177,2,2,588
1571,2357,1,1,1178
1573,295,4,4,147
1575,2363,1,1,1181
1577,1183,2,2,591
1579,2369,1,1,1184
1581,593,3,3,296
