residue,next_residue,weight_tau_capped_R,tau_exact,next_index
41659,62489,1,1,31244
41661,15623,3,3,7811
41663,62495,1,1,31247
41665,31249,2,2,15624
41667,62501,1,1,31250
41669,7813,4,4,3906
41671,62507,1,1,31253
41673,31255,2,2,15627
41675,62513,1,1,31256
41677,15629,3,3,7814
41679,62519,1,1,31259
41681,31261,2,2,15630
41683,62525,1,1,31262
41685,977,7,7,488
41687,62531,1,1,31265
41689,31267,2,2,15633
41691,62537,1,1,31268
41693,15635,3,3,7817
41695,62543,1,1,31271
41697,31273,2,2,15636
41699,62549,1,1,31274
41701,7819,4,4,3909
41703,62555,1,1,31277
41705,31279,2,2,15639
41707,62561,1,1,31280
41709,15641,3,3,7820
41711,62567,1,1,31283
41713,31285,2,2,15642
41715,62573,1,1,31286
41717,3911,5,5,1955
41719,62579,1,1,31289
41721,31291,2,2,15645
41723,62585,1,1,31292
41725,15647,3,3,7823
41727,62591,1,1,31295
41729,31297,2,2,15648
41731,62597,1,1,31298
41733,7825,4,4,3912
41735,62603,1,1,31301
41737,31303,2,2,15651
41739,62609,1,1,31304
41741,15653,3,3,7826
41743,62615,1,1,31307
41745,31309,2,2,15654
41747,62621,1,1,31310
41749,1957,6,6,978
41751,62627,1,1,31313
41753,31315,2,2,15657
41755,62633,1,1,31316
41757,15659,3,3,7829
41759,62639,1,1,31319
41761,31321,2,2,15660
41763,62645,1,1,31322
41765,7831,4,4,3915
41767,62651,1,1,31325
41769,31327,2,2,15663
41771,62657,1,1,31328
41773,15665,3,3,7832
41775,62663,1,1,31331
41777,31333,2,2,15666
41779,62669,1,1,31334
41781,3917,5,5,1958
41783,62675,1,1,31337
41785,31339,2,2,15669
41787,62681,1,1,31340
41789,15671,3,3,7835
41791,62687,1,1,31343
41793,31345,2,2,15672
41795,62693,1,1,31346
41797,7837,4,4,3918
41799,62699,1,1,31349
41801,31351,2,2,15675
41803,62705,1,1,31352
41805,15677,3,3,7838
41807,62711,1,1,31355
41809,31357,2,2,15678
41811,62717,1,1,31358
41813,245,9,9,122
41815,62723,1,1,31361
41817,31363,2,2,15681
41819,62729,1,1,31364
41821,15683,3,3,7841
41823,62735,1,1,31367
41825,31369,2,2,15684
41827,62741,1,1,31370
41829,7843,4,4,3921
41831,62747,1,1,31373
41833,31375,2,2,15687
41835,62753,1,1,31376
41837,15689,3,3,7844
41839,62759,1,1,31379
41841,31381,2,2,15690
41843,62765,1,1,31382
41845,3923,5,5,1961
41847,62771,1,1,31385
41849,31387,2,2,15693
41851,62777,1,1,31388
41853,15695,3,3,7847
41855,62783,1,1,31391
41857,31393,2,2,15696
41859,62789,1,1,31394
41861,7849,4,4,3924
41863,62795,1,1,31397
41865,31399,2,2,15699
41867,62801,1,1,31400
41869,15701,3,3,7850
41871,62807,1,1,31403
41873,31405,2,2,15702
41875,62813,1,1,31406
41877,1963,6,6,981
41879,62819,1,1,31409
41881,31411,2,2,15705
41883,62825,1,1,31412
41885,15707,3,3,7853
41887,62831,1,1,31415
41889,31417,2,2,15708
41891,62837,1,1,31418
41893,7855,4,4,3927
41895,62843,1,1,31421
41897,31423,2,2,15711
41899,62849,1,1,31424
41901,15713,3,3,7856
41903,62855,1,1,31427
41905,31429,2,2,15714
41907,62861,1,1,31430
41909,3929,5,5,1964
41911,62867,1,1,31433
41913,31435,2,2,15717
41915,62873,1,1,31436
41917,15719,3,3,7859
41919,62879,1,1,31439
41921,31441,2,2,15720
41923,62885,1,1,31442
41925,7861,4,4,3930
41927,62891,1,1,31445
41929,31447,2,2,15723
41931,62897,1,1,31448
41933,15725,3,3,7862
41935,62903,1,1,31451
41937,31453,2,2,15726
41939,62909,1,1,31454
41941,983,7,7,491
41943,62915,1,1,31457
41945,31459,2,2,15729
41947,62921,1,1,31460
41949,15731,3,3,7865
41951,62927,1,1,31463
41953,31465,2,2,15732
41955,62933,1,1,31466
41957,7867,4,4,3933
41959,62939,1,1,31469
41961,31471,2,2,15735
41963,62945,1,1,31472
41965,15737,3,3,7868
41967,62951,1,1,31475
41969,31477,2,2,15738
41971,62957,1,1,31478
41973,3935,5,5,1967
41975,62963,1,1,31481
41977,31483,2,2,15741
41979,62969,1,1,31484
41981,15743,3,3,7871
41983,62975,1,1,31487
41985,31489,2,2,15744
41987,62981,1,1,31490
41989,7873,4,4,3936
41991,62987,1,1,31493
41993,31495,2,2,15747
41995,62993,1,1,31496
41997,15749,3,3,7874
41999,62999,1,1,31499
42001,31501,2,2,15750
42003,63005,1,1,31502
42005,1969,6,6,984
42007,63011,1,1,31505
42009,31507,2,2,15753
42011,63017,1,1,31508
42013,15755,3,3,7877
42015,63023,1,1,31511
42017,31513,2,2,15756
42019,63029,1,1,31514
42021,7879,4,4,3939
42023,63035,1,1,31517
42025,31519,2,2,15759
42027,63041,1,1,31520
42029,15761,3,3,7880
42031,63047,1,1,31523
42033,31525,2,2,15762
42035,63053,1,1,31526
42037,3941,5,5,1970
42039,63059,1,1,31529
42041,31531,2,2,15765
42043,63065,1,1,31532
42045,15767,3,3,7883
42047,63071,1,1,31535
42049,31537,2,2,15768
42051,63077,1,1,31538
42053,7885,4,4,3942
42055,63083,1,1,31541
42057,31543,2,2,15771
42059,63089,1,1,31544
42061,15773,3,3,7886
42063,63095,1,1,31547
42065,31549,2,2,15774
42067,63101,1,1,31550
42069,493,8,8,246
42071,63107,1,1,31553
42073,31555,2,2,15777
42075,63113,1,1,31556
42077,15779,3,3,7889
42079,63119,1,1,31559
42081,31561,2,2,15780
42083,63125,1,1,31562
42085,7891,4,4,3945
42087,63131,1,1,31565
42089,31567,2,2,15783
42091,63137,1,1,31568
42093,15785,3,3,7892
42095,63143,1,1,31571
42097,31573,2,2,15786
42099,63149,1,1,31574
42101,3947,5,5,1973
42103,63155,1,1,31577
42105,31579,2,2,15789
42107,63161,1,1,31580
42109,15791,3,3,7895
42111,63167,1,1,31583
42113,31585,2,2,15792
42115,63173,1,1,31586
42117,7897,4,4,3948
42119,63179,1,1,31589
42121,31591,2,2,15795
42123,63185,1,1,31592
42125,15797,3,3,7898
42127,63191,1,1,31595
42129,31597,2,2,15798
42131,63197,1,1,31598
42133,1975,6,6,987
42135,63203,1,1,31601
42137,31603,2,2,15801
42139,63209,1,1,31604
42141,15803,3,3,7901
42143,63215,1,1,31607
42145,31609,2,2,15804
42147,63221,1,1,31610
42149,7903,4,4,3951
42151,63227,1,1,31613
42153,31615,2,2,15807
42155,63233,1,1,31616
42157,15809,3,3,7904
42159,63239,1,1,31619
42161,31621,2,2,15810
42163,63245,1,1,31622
42165,3953,5,5,1976
42167,63251,1,1,31625
42169,31627,2,2,15813
42171,63257,1,1,31628
42173,15815,3,3,7907
42175,63263,1,1,31631
42177,31633,2,2,15816
42179,63269,1,1,31634
42181,7909,4,4,3954
42183,63275,1,1,31637
42185,31639,2,2,15819
42187,63281,1,1,31640
42189,15821,3,3,7910
42191,63287,1,1,31643
42193,31645,2,2,15822
42195,63293,1,1,31646
42197,989,7,7,494
42199,63299,1,1,31649
42201,31651,2,2,15825
42203,63305,1,1,31652
42205,15827,3,3,7913
42207,63311,1,1,31655
42209,31657,2,2,15828
42211,63317,1,1,31658
42213,7915,4,4,3957
42215,63323,1,1,31661
42217,31663,2,2,15831
42219,63329,1,1,31664
42221,15833,3,3,7916
42223,63335,1,1,31667
42225,31669,2,2,15834
42227,63341,1,1,31670
42229,3959,5,5,1979
42231,63347,1,1,31673
42233,31675,2,2,15837
42235,63353,1,1,31676
42237,15839,3,3,7919
42239,63359,1,1,31679
42241,31681,2,2,15840
42243,63365,1,1,31682
42245,7921,4,4,3960
42247,63371,1,1,31685
42249,31687,2,2,15843
42251,63377,1,1,31688
42253,15845,3,3,7922
42255,63383,1,1,31691
42257,31693,2,2,15846
42259,63389,1,1,31694
42261,1981,6,6,990
42263,63395,1,1,31697
42265,31699,2,2,15849
42267,63401,1,1,31700
42269,15851,3,3,7925
42271,63407,1,1,31703
42273,31705,2,2,15852
42275,63413,1,1,31706
42277,7927,4,4,3963
42279,63419,1,1,31709
42281,31711,2,2,15855
42283,63425,1,1,31712
42285,15857,3,3,7928
42287,63431,1,1,31715
42289,31717,2,2,15858
42291,63437,1,1,31718
42293,3965,5,5,1982
42295,63443,1,1,31721
42297,31723,2,2,15861
42299,63449,1,1,31724
42301,15863,3,3,7931
42303,63455,1,1,31727
42305,31729,2,2,15864
42307,63461,1,1,31730
42309,7933,4,4,3966
42311,63467,1,1,31733
42313,31735,2,2,15867
42315,63473,1,1,31736
42317,15869,3,3,7934
42319,63479,1,1,31739
42321,31741,2,2,15870
42323,63485,1,1,31742
42325,31,12,12,15
42327,63491,1,1,31745
42329,31747,2,2,15873
42331,63497,1,1,31748
42333,15875,3,3,7937
42335,63503,1,1,31751
42337,31753,2,2,15876
42339,63509,1,1,31754
42341,7939,4,4,3969
42343,63515,1,1,31757
42345,31759,2,2,15879
42347,63521,1,1,31760
42349,15881,3,3,7940
42351,63527,1,1,31763
42353,31765,2,2,15882
42355,63533,1,1,31766
42357,3971,5,5,1985
42359,63539,1,1,31769
42361,31771,2,2,15885
42363,63545,1,1,31772
42365,15887,3,3,7943
42367,63551,1,1,31775
42369,31777,2,2,15888
42371,63557,1,1,31778
42373,7945,4,4,3972
42375,63563,1,1,31781
42377,31783,2,2,15891
42379,63569,1,1,31784
42381,15893,3,3,7946
42383,63575,1,1,31787
42385,31789,2,2,15894
42387,63581,1,1,31790
42389,1987,6,6,993
42391,63587,1,1,31793
42393,31795,2,2,15897
42395,63593,1,1,31796
42397,15899,3,3,7949
42399,63599,1,1,31799
42401,31801,2,2,15900
42403,63605,1,1,31802
42405,7951,4,4,3975
42407,63611,1,1,31805
42409,31807,2,2,15903
42411,63617,1,1,31808
42413,15905,3,3,7952
42415,63623,1,1,31811
42417,31813,2,2,15906
42419,63629,1,1,31814
42421,3977,5,5,1988
42423,63635,1,1,31817
42425,31819,2,2,15909
42427,63641,1,1,31820
42429,15911,3,3,7955
42431,63647,1,1,31823
42433,31825,2,2,15912
42435,63653,1,1,31826
42437,7957,4,4,3978
42439,63659,1,1,31829
42441,31831,2,2,15915
42443,63665,1,1,31832
42445,15917,3,3,7958
42447,63671,1,1,31835
42449,31837,2,2,15918
42451,63677,1,1,31838
42453,995,7,7,497
42455,63683,1,1,31841
42457,31843,2,2,15921
42459,63689,1,1,31844
42461,15923,3,3,7961
42463,63695,1,1,31847
42465,31849,2,2,15924
42467,63701,1,1,31850
42469,7963,4,4,3981
42471,63707,1,1,31853
42473,31855,2,2,15927
42475,63713,1,1,31856
42477,15929,3,3,7964
42479,63719,1,1,31859
42481,31861,2,2,15930
42483,63725,1,1,31862
42485,3983,5,5,1991
42487,63731,1,1,31865
42489,31867,2,2,15933
42491,63737,1,1,31868
42493,15935,3,3,7967
42495,63743,1,1,31871
42497,31873,2,2,15936
42499,63749,1,1,31874
42501,7969,4,4,3984
42503,63755,1,1,31877
42505,31879,2,2,15939
42507,63761,1,1,31880
42509,15941,3,3,7970
42511,63767,1,1,31883
42513,31885,2,2,15942
42515,63773,1,1,31886
42517,1993,6,6,996
42519,63779,1,1,31889
42521,31891,2,2,15945
42523,63785,1,1,31892
42525,15947,3,3,7973
42527,63791,1,1,31895
42529,31897,2,2,15948
42531,63797,1,1,31898
42533,7975,4,4,3987
42535,63803,1,1,31901
42537,31903,2,2,15951
42539,63809,1,1,31904
42541,15953,3,3,7976
42543,63815,1,1,31907
42545,31909,2,2,15954
42547,63821,1,1,31910
42549,3989,5,5,1994
42551,63827,1,1,31913
42553,31915,2,2,15957
42555,63833,1,1,31916
42557,15959,3,3,7979
42559,63839,1,1,31919
42561,31921,2,2,15960
42563,63845,1,1,31922
42565,7981,4,4,3990
42567,63851,1,1,31925
42569,31927,2,2,15963
42571,63857,1,1,31928
42573,15965,3,3,7982
42575,63863,1,1,31931
42577,31933,2,2,15966
42579,63869,1,1,31934
42581,499,8,8,249
42583,63875,1,1,31937
42585,31939,2,2,15969
42587,63881,1,1,31940
42589,15971,3,3,7985
42591,63887,1,1,31943
42593,31945,2,2,15972
42595,63893,1,1,31946
42597,7987,4,4,3993
42599,63899,1,1,31949
42601,31951,2,2,15975
42603,63905,1,1,31952
42605,15977,3,3,7988
42607,63911,1,1,31955
42609,31957,2,2,15978
42611,63917,1,1,31958
42613,3995,5,5,1997
42615,63923,1,1,31961
42617,31963,2,2,15981
42619,63929,1,1,31964
42621,15983,3,3,7991
42623,63935,1,1,31967
42625,31969,2,2,15984
42627,63941,1,1,31970
42629,7993,4,4,3996
42631,63947,1,1,31973
42633,31975,2,2,15987
42635,63953,1,1,31976
42637,15989,3,3,7994
42639,63959,1,1,31979
42641,31981,2,2,15990
42643,63965,1,1,31982
42645,1999,6,6,999
42647,63971,1,1,31985
42649,31987,2,2,15993
42651,63977,1,1,31988
42653,15995,3,3,7997
42655,63983,1,1,31991
42657,31993,2,2,15996
42659,63989,1,1,31994
42661,7999,4,4,3999
42663,63995,1,1,31997
42665,31999,2,2,15999
42667,64001,1,1,32000
42669,16001,3,3,8000
42671,64007,1,1,32003
42673,32005,2,2,16002
42675,64013,1,1,32006
42677,4001,5,5,2000
42679,64019,1,1,32009
42681,32011,2,2,16005
42683,64025,1,1,32012
42685,16007,3,3,8003
42687,64031,1,1,32015
42689,32017,2,2,16008
42691,64037,1,1,32018
42693,8005,4,4,4002
42695,64043,1,1,32021
42697,32023,2,2,16011
42699,64049,1,1,32024
42701,16013,3,3,8006
42703,64055,1,1,32027
42705,32029,2,2,16014
42707,64061,1,1,32030
42709,1001,7,7,500
42711,64067,1,1,32033
42713,32035,2,2,16017
42715,64073,1,1,32036
42717,16019,3,3,8009
42719,64079,1,1,32039
42721,32041,2,2,16020
42723,64085,1,1,32042
42725,8011,4,4,4005
42727,64091,1,1,32045
42729,32047,2,2,16023
42731,64097,1,1,32048
42733,16025,3,3,8012
42735,64103,1,1,32051
42737,32053,2,2,16026
42739,64109,1,1,32054
42741,4007,5,5,2003
42743,64115,1,1,32057
42745,32059,2,2,16029
42747,64121,1,1,32060
42749,16031,3,3,8015
42751,64127,1,1,32063
42753,32065,2,2,16032
42755,64133,1,1,32066
42757,8017,4,4,4008
42759,64139,1,1,32069
42761,32071,2,2,16035
42763,64145,1,1,32072
42765,16037,3,3,8018
42767,64151,1,1,32075
42769,32077,2,2,16038
42771,64157,1,1,32078
42773,2005,6,6,1002
42775,64163,1,1,32081
42777,32083,2,2,16041
42779,64169,1,1,32084
42781,16043,3,3,8021
42783,64175,1,1,32087
42785,32089,2,2,16044
42787,64181,1,1,32090
42789,8023,4,4,4011
42791,64187,1,1,32093
42793,32095,2,2,16047
42795,64193,1,1,32096
42797,16049,3,3,8024
42799,64199,1,1,32099
42801,32101,2,2,16050
42803,64205,1,1,32102
42805,4013,5,5,2006
42807,64211,1,1,32105
42809,32107,2,2,16053
42811,64217,1,1,32108
42813,16055,3,3,8027
42815,64223,1,1,32111
42817,32113,2,2,16056
42819,64229,1,1,32114
42821,8029,4,4,4014
42823,64235,1,1,32117
42825,32119,2,2,16059
42827,64241,1,1,32120
42829,16061,3,3,8030
42831,64247,1,1,32123
42833,32125,2,2,16062
42835,64253,1,1,32126
42837,251,9,9,125
42839,64259,1,1,32129
42841,32131,2,2,16065
42843,64265,1,1,32132
42845,16067,3,3,8033
42847,64271,1,1,32135
42849,32137,2,2,16068
42851,64277,1,1,32138
42853,8035,4,4,4017
42855,64283,1,1,32141
42857,32143,2,2,16071
42859,64289,1,1,32144
42861,16073,3,3,8036
42863,64295,1,1,32147
42865,32149,2,2,16074
42867,64301,1,1,32150
42869,4019,5,5,2009
42871,64307,1,1,32153
42873,32155,2,2,16077
42875,64313,1,1,32156
42877,16079,3,3,8039
42879,64319,1,1,32159
42881,32161,2,2,16080
42883,64325,1,1,32162
42885,8041,4,4,4020
42887,64331,1,1,32165
42889,32167,2,2,16083
42891,64337,1,1,32168
42893,16085,3,3,8042
42895,64343,1,1,32171
42897,32173,2,2,16086
42899,64349,1,1,32174
42901,2011,6,6,1005
42903,64355,1,1,32177
42905,32179,2,2,16089
42907,64361,1,1,32180
42909,16091,3,3,8045
42911,64367,1,1,32183
42913,32185,2,2,16092
42915,64373,1,1,32186
42917,8047,4,4,4023
42919,64379,1,1,32189
42921,32191,2,2,16095
42923,64385,1,1,32192
42925,16097,3,3,8048
42927,64391,1,1,32195
42929,32197,2,2,16098
42931,64397,1,1,32198
42933,4025,5,5,2012
42935,64403,1,1,32201
42937,32203,2,2,16101
42939,64409,1,1,32204
42941,16103,3,3,8051
42943,64415,1,1,32207
42945,32209,2,2,16104
42947,64421,1,1,32210
42949,8053,4,4,4026
42951,64427,1,1,32213
42953,32215,2,2,16107
42955,64433,1,1,32216
42957,16109,3,3,8054
42959,64439,1,1,32219
42961,32221,2,2,16110
42963,64445,1,1,32222
42965,1007,7,7,503
42967,64451,1,1,32225
42969,32227,2,2,16113
42971,64457,1,1,32228
42973,16115,3,3,8057
42975,64463,1,1,32231
42977,32233,2,2,16116
42979,64469,1,1,32234
42981,8059,4,4,4029
42983,64475,1,1,32237
42985,32239,2,2,16119
42987,64481,1,1,32240
42989,16121,3,3,8060
42991,64487,1,1,32243
42993,32245,2,2,16122
42995,64493,1,1,32246
42997,4031,5,5,2015
42999,64499,1,1,32249
43001,32251,2,2,16125
43003,64505,1,1,32252
43005,16127,3,3,8063
43007,64511,1,1,32255
43009,32257,2,2,16128
43011,64517,1,1,32258
43013,8065,4,4,4032
43015,64523,1,1,32261
43017,32263,2,2,16131
43019,64529,1,1,32264
43021,16133,3,3,8066
43023,64535,1,1,32267
43025,32269,2,2,16134
43027,64541,1,1,32270
43029,2017,6,6,1008
43031,64547,1,1,32273
43033,32275,2,2,16137
43035,64553,1,1,32276
43037,16139,3,3,8069
43039,64559,1,1,32279
43041,32281,2,2,16140
43043,64565,1,1,32282
43045,8071,4,4,4035
43047,64571,1,1,32285
43049,32287,2,2,16143
43051,64577,1,1,32288
43053,16145,3,3,8072
43055,64583,1,1,32291
43057,32293,2,2,16146
43059,64589,1,1,32294
43061,4037,5,5,2018
43063,64595,1,1,32297
43065,32299,2,2,16149
43067,64601,1,1,32300
43069,16151,3,3,8075
43071,64607,1,1,32303
43073,32305,2,2,16152
43075,64613,1,1,32306
43077,8077,4,4,4038
43079,64619,1,1,32309
43081,32311,2,2,16155
43083,64625,1,1,32312
43085,16157,3,3,8078
43087,64631,1,1,32315
43089,32317,2,2,16158
43091,64637,1,1,32318
43093,505,8,8,252
43095,64643,1,1,32321
43097,32323,2,2,16161
43099,64649,1,1,32324
43101,16163,3,3,8081
43103,64655,1,1,32327
43105,32329,2,2,16164
43107,64661,1,1,32330
43109,8083,4,4,4041
43111,64667,1,1,32333
43113,32335,2,2,16167
43115,64673,1,1,32336
43117,16169,3,3,8084
43119,64679,1,1,32339
43121,32341,2,2,16170
43123,64685,1,1,32342
43125,4043,5,5,2021
43127,64691,1,1,32345
43129,32347,2,2,16173
43131,64697,1,1,32348
43133,16175,3,3,8087
43135,64703,1,1,32351
43137,32353,2,2,16176
43139,64709,1,1,32354
43141,8089,4,4,4044
43143,64715,1,1,32357
43145,32359,2,2,16179
43147,64721,1,1,32360
43149,16181,3,3,8090
43151,64727,1,1,32363
43153,32365,2,2,16182
43155,64733,1,1,32366
43157,2023,6,6,1011
43159,64739,1,1,32369
43161,32371,2,2,16185
43163,64745,1,1,32372
43165,16187,3,3,8093
43167,64751,1,1,32375
43169,32377,2,2,16188
43171,64757,1,1,32378
43173,8095,4,4,4047
43175,64763,1,1,32381
43177,32383,2,2,16191
43179,64769,1,1,32384
43181,16193,3,3,8096
43183,64775,1,1,32387
43185,32389,2,2,16194
43187,64781,1,1,32390
43189,4049,5,5,2024
43191,64787,1,1,32393
43193,32395,2,2,16197
43195,64793,1,1,32396
43197,16199,3,3,8099
43199,64799,1,1,32399
43201,32401,2,2,16200
43203,64805,1,1,32402
43205,8101,4,4,4050
43207,64811,1,1,32405
43209,32407,2,2,16203
43211,64817,1,1,32408
43213,16205,3,3,8102
43215,64823,1,1,32411
43217,32413,2,2,16206
43219,64829,1,1,32414
43221,1013,7,7,506
43223,64835,1,1,32417
43225,32419,2,2,16209
43227,64841,1,1,32420
43229,16211,3,3,8105
43231,64847,1,1,32423
43233,32425,2,2,16212
43235,64853,1,1,32426
43237,8107,4,4,4053
43239,64859,1,1,32429
43241,32431,2,2,16215
43243,64865,1,1,32432
43245,16217,3,3,8108
43247,64871,1,1,32435
43249,32437,2,2,16218
43251,64877,1,1,32438
43253,4055,5,5,2027
43255,64883,1,1,32441
43257,32443,2,2,16221
43259,64889,1,1,32444
43261,16223,3,3,8111
43263,64895,1,1,32447
43265,32449,2,2,16224
43267,64901,1,1,32450
43269,8113,4,4,4056
43271,64907,1,1,32453
43273,32455,2,2,16227
43275,64913,1,1,32456
43277,16229,3,3,8114
43279,64919,1,1,32459
43281,32461,2,2,16230
43283,64925,1,1,32462
43285,2029,6,6,1014
43287,64931,1,1,32465
43289,32467,2,2,16233
43291,64937,1,1,32468
43293,16235,3,3,8117
43295,64943,1,1,32471
43297,32473,2,2,16236
43299,64949,1,1,32474
43301,8119,4,4,4059
43303,64955,1,1,32477
43305,32479,2,2,16239
43307,64961,1,1,32480
43309,16241,3,3,8120
43311,64967,1,1,32483
43313,32485,2,2,16242
43315,64973,1,1,32486
43317,4061,5,5,2030
43319,64979,1,1,32489
43321,32491,2,2,16245
43323,64985,1,1,32492
43325,16247,3,3,8123
43327,64991,1,1,32495
43329,32497,2,2,16248
43331,64997,1,1,32498
43333,8125,4,4,4062
43335,65003,1,1,32501
43337,32503,2,2,16251
43339,65009,1,1,32504
43341,16253,3,3,8126
43343,65015,1,1,32507
43345,32509,2,2,16254
43347,65021,1,1,32510
43349,127,10,10,63
43351,65027,1,1,32513
43353,32515,2,2,16257
43355,65033,1,1,32516
43357,16259,3,3,8129
43359,65039,1,1,32519
43361,32521,2,2,16260
43363,65045,1,1,32522
43365,8131,4,4,4065
43367,65051,1,1,32525
43369,32527,2,2,16263
43371,65057,1,1,32528
43373,16265,3,3,8132
43375,65063,1,1,32531
43377,32533,2,2,16266
43379,65069,1,1,32534
43381,4067,5,5,2033
43383,65075,1,1,32537
43385,32539,2,2,16269
43387,65081,1,1,32540
43389,16271,3,3,8135
43391,65087,1,1,32543
43393,32545,2,2,16272
43395,65093,1,1,32546
43397,8137,4,4,4068
43399,65099,1,1,32549
43401,32551,2,2,16275
43403,65105,1,1,32552
43405,16277,3,3,8138
43407,65111,1,1,32555
43409,32557,2,2,16278
43411,65117,1,1,32558
43413,2035,6,6,1017
43415,65123,1,1,32561
43417,32563,2,2,16281
43419,65129,1,1,32564
43421,16283,3,3,8141
43423,65135,1,1,32567
43425,32569,2,2,16284
43427,65141,1,1,32570
43429,8143,4,4,4071
43431,65147,1,1,32573
43433,32575,2,2,16287
43435,65153,1,1,32576
43437,16289,3,3,8144
43439,65159,1,1,32579
43441,32581,2,2,16290
43443,65165,1,1,32582
43445,4073,5,5,2036
43447,65171,1,1,32585
43449,32587,2,2,16293
43451,65177,1,1,32588
43453,16295,3,3,8147
43455,65183,1,1,32591
43457,32593,2,2,16296
43459,65189,1,1,32594
43461,8149,4,4,4074
43463,65195,1,1,32597
43465,32599,2,2,16299
43467,65201,1,1,32600
43469,16301,3,3,8150
43471,65207,1,1,32603
43473,32605,2,2,16302
43475,65213,1,1,32606
43477,1019,7,7,509
43479,65219,1,1,32609
43481,32611,2,2,16305
43483,65225,1,1,32612
43485,16307,3,3,8153
43487,65231,1,1,32615
43489,32617,2,2,16308
43491,65237,1,1,32618
43493,8155,4,4,4077
43495,65243,1,1,32621
43497,32623,2,2,16311
43499,65249,1,1,32624
43501,16313,3,3,8156
43503,65255,1,1,32627
43505,32629,2,2,16314
43507,65261,1,1,32630
43509,4079,5,5,2039
43511,65267,1,1,32633
43513,32635,2,2,16317
43515,65273,1,1,32636
43517,16319,3,3,8159
43519,65279,1,1,32639
43521,32641,2,2,16320
43523,65285,1,1,32642
43525,8161,4,4,4080
43527,65291,1,1,32645
43529,32647,2,2,16323
43531,65297,1,1,32648
43533,16325,3,3,8162
43535,65303,1,1,32651
43537,32653,2,2,16326
43539,65309,1,1,32654
43541,2041,6,6,1020
43543,65315,1,1,32657
43545,32659,2,2,16329
43547,65321,1,1,32660
43549,16331,3,3,8165
43551,65327,1,1,32663
43553,32665,2,2,16332
43555,65333,1,1,32666
43557,8167,4,4,4083
43559,65339,1,1,32669
43561,32671,2,2,16335
43563,65345,1,1,32672
43565,16337,3,3,8168
43567,65351,1,1,32675
43569,32677,2,2,16338
43571,65357,1,1,32678
43573,4085,5,5,2042
43575,65363,1,1,32681
43577,32683,2,2,16341
43579,65369,1,1,32684
43581,16343,3,3,8171
43583,65375,1,1,32687
43585,32689,2,2,16344
43587,65381,1,1,32690
43589,8173,4,4,4086
43591,65387,1,1,32693
43593,32695,2,2,16347
43595,65393,1,1,32696
43597,16349,3,3,8174
43599,65399,1,1,32699
43601,32701,2,2,16350
43603,65405,1,1,32702
43605,511,8,8,255
43607,65411,1,1,32705
43609,32707,2,2,16353
43611,65417,1,1,32708
43613,16355,3,3,8177
43615,65423,1,1,32711
43617,32713,2,2,16356
43619,65429,1,1,32714
43621,8179,4,4,4089
43623,65435,1,1,32717
43625,32719,2,2,16359
43627,65441,1,1,32720
43629,16361,3,3,8180
43631,65447,1,1,32723
43633,32725,2,2,16362
43635,65453,1,1,32726
43637,4091,5,5,2045
43639,65459,1,1,32729
43641,32731,2,2,16365
43643,65465,1,1,32732
43645,16367,3,3,8183
43647,65471,1,1,32735
43649,32737,2,2,16368
43651,65477,1,1,32738
43653,8185,4,4,4092
43655,65483,1,1,32741
43657,32743,2,2,16371
43659,65489,1,1,32744
43661,16373,3,3,8186
43663,65495,1,1,32747
43665,32749,2,2,16374
43667,65501,1,1,32750
43669,2047,6,6,1023
43671,65507,1,1,32753
43673,32755,2,2,16377
43675,65513,1,1,32756
43677,16379,3,3,8189
43679,65519,1,1,32759
43681,32761,2,2,16380
43683,65525,1,1,32762
43685,8191,4,4,4095
43687,65531,1,1,32765
43689,32767,2,2,16383
43691,65537,1,1,32768
43693,16385,3,3,8192
43695,65543,1,1,32771
43697,32773,2,2,16386
43699,65549,1,1,32774
43701,4097,5,5,2048
43703,65555,1,1,32777
43705,32779,2,2,16389
43707,65561,1,1,32780
43709,16391,3,3,8195
43711,65567,1,1,32783
43713,32785,2,2,16392
43715,65573,1,1,32786
43717,8197,4,4,4098
43719,65579,1,1,32789
43721,32791,2,2,16395
43723,65585,1,1,32792
43725,16397,3,3,8198
43727,65591,1,1,32795
43729,32797,2,2,16398
43731,65597,1,1,32798
43733,1025,7,7,512
43735,65603,1,1,32801
43737,32803,2,2,16401
43739,65609,1,1,32804
43741,16403,3,3,8201
43743,65615,1,1,32807
43745,32809,2,2,16404
43747,65621,1,1,32810
43749,8203,4,4,4101
43751,65627,1,1,32813
43753,32815,2,2,16407
43755,65633,1,1,32816
43757,16409,3,3,8204
43759,65639,1,1,32819
43761,32821,2,2,16410
43763,65645,1,1,32822
43765,4103,5,5,2051
43767,65651,1,1,32825
43769,32827,2,2,16413
43771,65657,1,1,32828
43773,16415,3,3,8207
43775,65663,1,1,32831
43777,32833,2,2,16416
43779,65669,1,1,32834
43781,8209,4,4,4104
43783,65675,1,1,32837
43785,32839,2,2,16419
43787,65681,1,1,32840
43789,16421,3,3,8210
43791,65687,1,1,32843
43793,32845,2,2,16422
43795,65693,1,1,32846
43797,2053,6,6,1026
43799,65699,1,1,32849
43801,32851,2,2,16425
43803,65705,1,1,32852
43805,16427,3,3,8213
43807,65711,1,1,32855
43809,32857,2,2,16428
43811,65717,1,1,32858
