Distance,Angle
191.83912531076658,172.05996772473463
193.47415848117805,169.12565806565075
201.30139095396237,160.70995378081125
201.6339505142921,160.44174846300257
202.3122586498406,159.90801227140977
202.6579630806547,159.64249552607907
190.71247992724545,172.31601817026603
192.30509613632188,169.36204228731262
200.02812302273898,160.88568642161275
201.03047032726158,160.07776869904527
201.3734093667781,159.8102697977305
190.62069667273803,170.48826359162297
190.9613835308071,169.8964259334537
191.510443579456,169.01277459723303
191.70354717636292,168.71937482752256
200.78408801496198,159.44395478041653
201.1373908551068,159.17723210072614
190.1558571277782,169.54692865620459
190.72296662961176,168.66060954424992
189.9427545340964,168.30553786639527
197.1959685186287,160.60025755583794
199.26929015781633,158.97281067857625
187.18239767670462,171.24220171414558
196.58903835158256,160.22854576433133
198.69889280013615,158.60018986791778
187.20643685514662,169.38034472384487
185.2059664265706,171.14799590061057
187.00601594601176,168.11923176747075
194.70811487968342,160.02946385515
183.9191398413988,-171.71569945734538
182.93783096997734,-174.1959136963429
184.3752966099309,170.79311871887174
184.8790144932626,169.8753283446022
185.82316863082494,168.357483623096
193.09129964863772,160.48589712695633
193.427635047322,160.20669770708926
183.07716952148894,-171.3609102904631
182.78744486424662,171.9807210656898
184.64357557196513,168.59878383341157
184.84385302194931,168.29493048347229
191.815666721986,160.6676638786523
194.98012719249107,158.17130681118041
181.6597093468995,-172.2490389594696
180.94819700676766,-174.13187143458956
181.94023744075966,171.62495021678717
183.46729953863712,168.8431825530245
183.86476008196894,168.23171106797935
190.87233953614128,160.56829062650414
193.31386396221043,158.61137717218116
194.42800724175515,157.7881693135538
180.80721777628239,-171.89230506727228
180.53600748881095,-172.52070303023692
180.05901810239885,-173.78279808560637
179.85341253365198,-174.41620229482209
179.36903300179773,-176.32403821799838
180.6688960502056,172.20626822075414
180.80721777628239,171.89230506727228
182.68346942183905,168.47478649045527
183.30643742105732,167.55594929930962
183.52452152232954,167.25108547359855
189.59760019578306,160.75273842464216
191.65920275322028,159.05907289051393
192.01887928013744,158.7803941956891
192.7517833899339,158.2261896345931
180.11177085354527,-171.21755928333576
179.96180150242995,-171.53220540963545
179.6781845411401,-172.1630257982005
179.17658887254217,-173.4302732313013
178.95879413988015,-174.06640523259836
178.30942207297963,-176.62410482660886
178.2533309646695,-176.94497766673257
182.77376726434238,166.87615366002063
183.00341526867743,166.57124368918994
191.45299684256707,158.39309532252398
178.82743078174556,-171.8019311539837
178.07091284092414,-173.71310663826353
178.30100953163446,173.074272515287
178.42435371887998,172.7554931475588
179.60860224387918,170.22301305894499
180.7242374447877,168.34810003227915
189.08000951977974,159.4084885023632
177.8377069127917,-171.75598968555093
177.69707369565768,-172.07509454634663
176.25620556451338,-176.91032838874796
178.2925965933527,170.80183350225178
178.45517644495493,170.48489496074026
179.95068768971126,167.97195639508573
180.1617328957512,167.6609127216738
181.0586921415263,166.42426192333158
189.59496301326152,158.1705318579514
176.5708073266926,-172.35174906891402
176.4404998859389,-172.67359333983046
175.51994188695483,-175.5887764499856
175.31471700915472,-176.56636963754949
175.20630696410447,-177.21924753251025
175.1206726802978,-177.87284888714922
176.08307698356478,173.64184156307877
179.40248047337585,167.2806689378668
180.08678463452003,166.349580865243
185.8258593414813,160.3461759419467
187.20910768442863,159.19320898728878
175.32327284191337,-172.95605297020307
174.25914610143136,-176.8748849163569
175.0892629489313,173.60560223477242
175.85860797811407,171.66255556115328
176.0063919293842,171.34046196012426
185.22486334183108,159.9508236509353
186.63400011787778,158.79718135619035
186.99799464165383,158.5115236356663
174.33086358989908,-172.91574905120137
174.2103613451278,-173.24212851242282
